Time,T,OTU19_R1,OTU20_R1,OTU21_R1,OTU19_R2,OTU20_R2,OTU21_R2,OTU19_R3,OTU20_R3,OTU21_R3,OTU19_R4,OTU20_R4,OTU21_R4,OTU19_R5,OTU20_R5,OTU21_R5,Tm,T_internal
0.03,38,4.02,4.3,4.8,4.8,4.69,4.4,4.49,4.66,5.22,4.24,4.93,4.24,4.49,5.23,4.98,38,36.98
1.03,38,4.11,4.44,4.93,4.89,4.76,4.54,4.52,4.77,5.35,4.32,5.06,4.41,4.61,5.28,5.16,38,35.94
2.03,38,4.32,4.62,5.15,5.07,4.89,4.75,4.67,4.9,5.54,4.52,5.23,4.64,4.81,5.46,5.4,38,35.51
3.03,38,4.57,4.81,5.37,5.24,5.03,4.93,4.82,5.06,5.74,4.7,5.39,4.86,5.03,5.69,5.66,38,35.22
4.03,38,4.79,4.99,5.58,5.42,5.19,5.11,5.01,5.2,5.95,4.9,5.56,5.08,5.24,5.9,5.92,38,35
5.03,38,4.93,5.16,5.79,5.57,5.31,5.26,5.15,5.34,6.13,5.08,5.71,5.28,5.45,6.08,6.17,38,34.81
6.03,38,5.17,5.34,6,5.74,5.45,5.43,5.33,5.48,6.34,5.26,5.85,5.47,5.67,6.27,6.4,38,34.68
7.03,38,5.35,5.5,6.19,5.87,5.58,5.58,5.48,5.61,6.51,5.43,5.98,5.65,5.85,6.45,6.62,38,34.58
8.03,38,5.52,5.67,6.38,6.03,5.72,5.74,5.64,5.75,6.7,5.59,6.13,5.84,6.04,6.61,6.84,38,34.51
9.03,38,5.67,5.8,6.56,6.17,5.83,5.88,5.79,5.88,6.86,5.74,6.25,6.01,6.19,6.76,7.02,38,34.48
10.03,38,5.79,5.96,6.73,6.3,5.96,6.04,5.93,6.01,7.05,5.9,6.41,6.17,6.36,6.92,7.22,38,34.47
11.03,38,5.97,6.1,6.89,6.44,6.08,6.16,6.07,6.15,7.19,6.04,6.54,6.34,6.5,7.06,7.4,38,34.47
12.03,38,6.11,6.24,7.03,6.54,6.18,6.29,6.2,6.27,7.34,6.18,6.66,6.47,6.63,7.19,7.55,38,34.48
13.03,38,6.23,6.37,7.17,6.67,6.29,6.38,6.33,6.38,7.48,6.31,6.79,6.61,6.76,7.32,7.71,38,34.53
14.03,38,6.33,6.49,7.3,6.77,6.41,6.49,6.45,6.51,7.62,6.45,6.92,6.76,6.89,7.46,7.82,38,34.58
15.03,38,6.49,6.62,7.43,6.89,6.54,6.6,6.57,6.64,7.75,6.57,7.04,6.9,7.02,7.58,7.97,38,34.62
16.03,38,6.59,6.75,7.56,6.99,6.65,6.69,6.69,6.75,7.88,6.67,7.15,7.01,7.13,7.71,8.09,38,34.7
17.03,38,6.69,6.84,7.66,7.07,6.75,6.77,6.77,6.85,7.98,6.77,7.26,7.13,7.24,7.8,8.2,38,34.78
18.05,38,6.77,6.95,7.75,7.19,6.86,6.85,6.88,6.96,8.1,6.88,7.38,7.24,7.33,7.93,8.3,38,34.86
19.05,38,6.87,7.06,7.88,7.3,6.98,6.94,6.99,7.08,8.24,6.99,7.49,7.36,7.45,8.03,8.42,38,34.91
20.05,38,7,7.16,7.96,7.39,7.06,6.98,7.09,7.17,8.32,7.07,7.58,7.44,7.53,8.13,8.49,38,35.01
21.05,38,7.09,7.24,8.06,7.48,7.17,7.06,7.18,7.28,8.41,7.17,7.68,7.54,7.63,8.22,8.59,38,35.12
