gene,length_aa,MW_kDa
XP_025338126.1,758,86.29
XP_025335277.1,1536,171.82
XP_025335432.1,451,50.14
XP_025335431.1,439,47.01
XP_025337151.1,451,51.51
XP_025336073.1,537,61.04
XP_025337921.1,458,51.26
XP_025337899.1,608,69.37
XP_025338194.1,470,53.25
XP_025336625.1,524,59.77
XP_025338295.1,649,72.07
XP_025337364.1,421,45.01
XP_025337493.1,1874,204.98
XP_025338827.1,307,35.12
XP_025337858.1,287,32.0
XP_025335263.1,286,31.8
XP_025339452.1,428,49.51
XP_025334431.1,441,48.35
XP_025337746.1,423,47.89
XP_025338845.1,1046,118.86
XP_025339084.1,444,50.9
XP_025335786.1,484,54.99
XP_025338051.1,377,43.35
XP_025337377.1,381,44.09
XP_025336258.1,229,25.71
XP_025337424.1,269,30.31
XP_025338709.1,498,55.84
XP_025338113.1,567,64.04
XP_025338477.1,303,33.04
XP_025337041.1,470,52.89
XP_025337750.1,467,52.57
XP_025336658.1,418,43.64
XP_025337387.1,534,59.17
XP_025336042.1,1309,147.66
XP_025336664.1,460,51.69
XP_025338502.1,701,77.84
XP_025339257.1,1047,118.36
XP_025334601.1,276,28.92
XP_025339437.1,283,31.66
XP_025335496.1,1978,220.32
XP_025338267.1,1084,122.98
XP_025335870.1,508,57.14
XP_025339085.1,792,90.07
XP_025336292.1,307,33.07
XP_025334439.1,325,36.96
XP_025335217.1,336,38.35
XP_025337949.1,469,52.4
XP_025336561.1,259,29.36
XP_025338209.1,794,86.0
XP_025338697.1,906,99.11
XP_025338299.1,314,33.07
XP_025337276.1,259,29.38
XP_025338491.1,228,26.0
XP_025336496.1,371,40.8
XP_025338937.1,243,27.99
XP_025336598.1,609,66.39
XP_025334842.1,421,47.52
XP_025336810.1,439,51.58
XP_025336830.1,281,31.96
XP_025338566.1,260,29.59
XP_025336610.1,1377,157.43
XP_025338774.1,484,55.31
XP_025334970.1,250,28.9
XP_025338347.1,227,24.37
XP_025337446.1,294,33.24
XP_025339066.1,269,29.17
XP_025339087.1,268,28.67
XP_025338679.1,293,32.37
XP_025335444.1,494,55.71
XP_025335158.1,2094,231.18
XP_025337716.1,455,48.96
XP_025337317.1,470,52.64
XP_025334651.1,372,39.5
XP_025338626.1,707,77.23
XP_025334696.1,348,36.37
XP_025339406.1,348,36.65
XP_025338951.1,350,40.43
XP_025338076.1,347,38.92
XP_025335185.1,370,40.72
XP_025335363.1,381,41.16
XP_025339135.1,701,75.35
XP_025336033.1,255,29.99
XP_025336358.1,315,35.38
XP_025337058.1,471,51.86
XP_025335695.1,561,62.22
XP_025337633.1,485,53.76
XP_025337831.1,506,56.03
XP_025336072.1,1954,214.64
XP_025335778.1,338,37.42
XP_025338127.1,791,83.99
XP_025334975.1,350,38.67
XP_025339340.1,1256,141.5
XP_025338982.1,519,56.31
XP_025336016.1,499,54.01
XP_025335862.1,678,75.73
XP_025334471.1,435,48.9
XP_025338870.1,351,37.78
XP_025335638.1,335,35.83
XP_025338968.1,572,63.23
XP_025337216.1,212,23.88
XP_025334866.1,552,61.19
XP_025337137.1,302,33.95
XP_025338521.1,461,51.14
XP_025336476.1,2358,262.47
XP_025336961.1,946,101.13
XP_025338543.1,2707,297.91
XP_025339025.1,590,66.69
XP_025338163.1,1830,205.09
XP_025339445.1,1322,148.16
XP_025335823.1,209,23.25
XP_025337039.1,292,34.19
XP_025336044.1,656,74.72
XP_025339150.1,422,47.92
XP_025335915.1,695,80.0
XP_025338979.1,917,105.4
XP_025337456.1,391,44.66
XP_025337841.1,700,79.55
XP_025339407.1,487,55.14
XP_025337077.1,454,49.42
XP_025334659.1,1035,116.41
XP_025335018.1,436,50.67
XP_025336579.1,420,48.25
XP_025338874.1,1463,165.16
XP_025336679.1,471,53.33
XP_025336688.1,764,87.67
XP_025335358.1,521,59.47
XP_025334794.1,458,51.31
XP_025334973.1,545,58.71
XP_025336099.1,890,102.29
XP_025338398.1,758,89.07
XP_025336860.1,556,58.93
XP_025338178.1,708,83.45
