gene,length_aa,MW_kDa
XP_025343215.1,755,86.15
XP_025340069.1,2076,232.64
XP_025342242.1,453,50.6
XP_025342243.1,439,46.97
XP_025343521.1,486,55.03
XP_025342652.1,451,51.63
XP_025343755.1,2134,235.91
XP_025343016.1,608,69.06
XP_025342994.1,396,45.16
XP_025341834.1,545,62.99
XP_025340854.1,465,52.91
XP_025344294.1,524,59.6
XP_025340956.1,648,71.88
XP_025343463.1,1870,204.81
XP_025343608.1,423,44.99
XP_025341488.1,307,34.99
XP_025343059.1,286,32.08
XP_025340056.1,286,31.74
XP_025341674.1,430,49.89
XP_025339641.1,1287,146.72
XP_025341506.1,355,40.12
XP_025342913.1,443,49.04
XP_025343593.1,378,43.22
XP_025342842.1,378,43.49
XP_025341324.1,559,62.31
XP_025340436.1,428,48.77
XP_025344529.1,483,55.01
XP_025343934.1,427,47.68
XP_025343544.1,297,33.52
XP_025343228.1,567,63.87
XP_025341373.1,498,55.85
XP_025339645.1,467,52.45
XP_025342529.1,470,53.04
XP_025341137.1,316,34.52
XP_025344328.1,418,43.63
XP_025343583.1,534,59.04
XP_025343721.1,594,65.45
XP_025343649.1,464,52.84
XP_025344333.1,461,51.66
XP_025344334.1,461,51.29
XP_025341162.1,665,74.14
XP_025341877.1,1069,120.26
XP_025340638.1,276,28.97
XP_025341690.1,286,32.03
XP_025340926.1,1091,123.95
XP_025342179.1,887,99.14
XP_025344615.1,510,57.67
XP_025340437.1,796,90.53
XP_025343966.1,307,33.13
XP_025342920.1,324,36.93
XP_025340013.1,334,38.2
XP_025344769.1,470,52.32
XP_025341358.1,907,99.21
XP_025340868.1,804,87.31
XP_025344234.1,322,36.21
XP_025339772.1,254,28.92
XP_025341442.1,406,45.67
XP_025342368.1,445,52.22
XP_025343160.1,422,47.86
XP_025344269.1,334,36.93
XP_025344279.1,1704,194.87
XP_025341435.1,488,55.79
XP_025340288.1,246,27.95
XP_025341151.1,344,38.24
XP_025342777.1,262,29.66
XP_025341223.1,262,29.19
XP_025340960.1,315,33.14
XP_025342344.1,286,32.53
XP_025341101.1,241,27.72
XP_025341008.1,227,24.31
XP_025343513.1,290,32.43
XP_025341340.1,295,32.66
XP_025340417.1,270,29.43
XP_025340439.1,268,28.5
XP_025340664.1,286,31.87
XP_025342230.1,494,55.24
XP_025339610.1,455,48.97
XP_025339952.1,2121,234.24
XP_025342817.1,478,53.38
XP_025341281.1,709,77.18
XP_025340682.1,383,40.49
XP_025340730.1,348,36.35
XP_025341719.1,348,36.7
XP_025340303.1,350,40.43
XP_025343264.1,334,38.05
XP_025340151.1,387,42.01
XP_025339979.1,370,40.65
XP_025340496.1,692,74.3
XP_025343711.1,254,29.79
XP_025344035.1,321,36.04
XP_025342548.1,456,50.17
XP_025343315.1,485,53.68
XP_025343090.1,3794,424.17
XP_025344429.1,573,63.41
XP_025344522.1,338,37.31
XP_025343214.1,791,83.77
XP_025339777.1,351,38.6
XP_025341788.1,1285,144.72
XP_025343693.1,499,53.85
XP_025340335.1,519,56.18
XP_025343288.1,512,55.58
XP_025344606.1,872,97.41
XP_025342955.1,435,49.02
XP_025340320.1,929,103.58
XP_025341535.1,350,37.54
XP_025342032.1,1137,124.56
XP_025342718.1,214,24.04
XP_025339672.1,552,61.27
XP_025342634.1,304,34.48
XP_025341180.1,461,51.15
XP_025344154.1,2054,227.86
XP_025342445.1,938,100.29
XP_025341200.1,2703,297.64
XP_025340376.1,590,66.65
XP_025340820.1,490,55.18
XP_025343724.1,657,75.07
XP_025342527.1,286,33.48
XP_025341681.1,1807,204.19
XP_025344566.1,209,23.24
XP_025340596.1,356,42.24
XP_025340837.1,716,84.5
XP_025341507.1,1222,137.11
XP_025344251.1,561,63.5
XP_025339775.1,549,59.37
XP_025340331.1,590,67.11
XP_025342315.1,557,59.39
XP_025344349.1,465,52.48
XP_025341540.1,691,79.48
XP_025343501.1,391,44.69
XP_025344658.1,696,80.57
XP_025341718.1,498,57.09
XP_025339818.1,438,50.61
XP_025344360.1,763,86.93
XP_025340511.1,437,49.22
XP_025343660.1,460,51.52
XP_025342294.1,1441,164.61
XP_025340143.1,523,59.51
XP_025340690.1,410,46.69
XP_025341057.1,433,49.22
XP_025339831.1,730,84.63
XP_025341084.1,555,64.39
XP_025342118.1,457,52.44
XP_025342569.1,455,49.52
XP_025341058.1,436,50.95
XP_025343782.1,574,67.67
XP_025343076.1,719,81.23
XP_025340157.1,461,52.89
XP_025341468.1,337,38.9
XP_025341226.1,2406,269.84
XP_025342921.1,327,34.47
XP_025342707.1,1617,180.99
XP_025343820.1,685,76.2
XP_025340630.1,519,58.37
XP_025342524.1,1178,129.56
XP_025339716.1,304,34.71
XP_025344481.1,229,26.76
XP_025342675.1,393,41.34
XP_025344668.1,381,39.62
XP_025340834.1,1406,160.28
XP_025344382.1,832,92.21
XP_025341985.1,825,91.13
XP_025342434.1,870,98.09
XP_025344702.1,868,97.46
XP_025340212.1,424,47.93
XP_025343574.1,485,54.73
XP_025339554.1,260,29.17
XP_025342552.1,323,37.73
XP_025342329.1,303,36.12
XP_025342005.1,588,63.0
XP_025342973.1,683,75.86
XP_025340510.1,680,74.91
XP_025343798.1,708,80.44
XP_025339769.1,640,71.64
XP_025340642.1,438,47.75
XP_025341276.1,697,77.35
XP_025342327.1,278,29.94
XP_025340817.1,394,43.97
XP_025341542.1,250,28.65
XP_025340917.1,678,72.8
XP_025339676.1,318,35.8
XP_025343691.1,293,32.86
XP_025344595.1,1327,151.85
XP_025343818.1,495,55.66
XP_025343821.1,551,62.15
XP_025341956.1,391,43.61
XP_025340309.1,424,47.69
XP_025342919.1,289,31.61
XP_025343487.1,438,48.58
XP_025343088.1,408,44.15
XP_025339830.1,487,51.85
XP_025340905.1,704,79.25
XP_025340743.1,711,79.18
XP_025340904.1,732,81.02
XP_025339718.1,204,23.39
XP_025344068.1,515,54.51
XP_025339919.1,324,33.78
XP_025341376.1,326,36.58
XP_025343826.1,186,21.15
XP_025342627.1,292,33.54
XP_025341523.1,408,46.96
XP_025342789.1,1046,117.51
XP_025342531.1,461,52.12
XP_025341509.1,578,66.65
XP_025344518.1,453,50.9
XP_025344008.1,597,68.39
XP_025341706.1,584,64.57
XP_025344540.1,778,85.72
XP_025340333.1,760,84.8
XP_025341826.1,343,39.01
XP_025341196.1,961,107.63
XP_025343386.1,185,20.51
XP_025339708.1,333,37.01
XP_025341958.1,684,75.48
XP_025341357.1,790,89.31
XP_025343071.1,456,50.82
XP_025343346.1,729,83.34
XP_025343885.1,446,50.69
XP_025343822.1,464,51.86
XP_025343469.1,391,44.68
XP_025344482.1,563,64.0
XP_025343247.1,385,44.11
XP_025340369.1,615,70.36
XP_025343712.1,413,47.01
XP_025343248.1,385,43.75
XP_025343981.1,398,45.29
XP_025340381.1,752,85.22
XP_025340245.1,945,102.81
XP_025341699.1,979,107.58
XP_025340420.1,2224,249.62
XP_025344739.1,230,26.5
XP_025344740.1,235,26.56
XP_025340233.1,218,24.36
XP_025343812.1,267,30.1
XP_025340538.1,152,16.63
XP_025340340.1,307,34.01
XP_025341927.1,404,45.98
XP_025342281.1,576,65.72
XP_025341626.1,300,32.67
XP_025339759.1,575,62.79
XP_025342530.1,362,39.07
XP_025343925.1,562,61.67
XP_025341159.1,664,72.89
XP_025343139.1,399,44.09
XP_025344315.1,382,41.93
XP_025344579.1,481,51.07
XP_025339680.1,151,17.08
XP_025341097.1,448,50.25
XP_025342096.1,566,63.01
XP_025341195.1,553,61.27
XP_025341618.1,587,63.94
XP_025340413.1,579,65.12
XP_025342282.1,1962,222.35
XP_025341393.1,1056,121.29
XP_025343935.1,386,45.13
XP_025344155.1,1151,129.47
XP_025340293.1,260,30.03
XP_025340637.1,834,96.16
XP_025344547.1,377,42.06
XP_025343692.1,371,40.57
XP_025340880.1,475,53.24
XP_025344557.1,437,47.25
XP_025340600.1,860,92.31
XP_025340354.1,1511,171.06
XP_025344187.1,758,83.16
XP_025341347.1,348,39.53
XP_025341617.1,324,36.87
XP_025343878.1,2898,323.98
XP_025342819.1,766,85.86
XP_025342985.1,935,105.0
XP_025341134.1,251,28.52
XP_025342692.1,568,64.05
XP_025344138.1,355,39.66
XP_025340746.1,299,33.23
XP_025341086.1,299,32.41
XP_025343057.1,474,53.03
XP_025342199.1,369,39.55
XP_025343819.1,314,36.36
XP_025342826.1,528,58.48
XP_025340794.1,346,38.15
XP_025342374.1,482,52.8
XP_025340045.1,554,62.61
XP_025342033.1,1206,138.01
XP_025340588.1,733,83.61
XP_025340725.1,1028,112.2
XP_025344347.1,362,41.0
XP_025344479.1,200,21.17
XP_025344480.1,201,21.51
XP_025344478.1,270,28.75
XP_025344688.1,494,53.93
XP_025344774.1,555,62.63
XP_025339664.1,482,54.21
XP_025342790.1,232,26.51
XP_025343182.1,362,42.41
XP_025343218.1,299,32.4
XP_025342550.1,323,35.62
XP_025341848.1,2146,238.85
XP_025343283.1,295,32.26
XP_025340691.1,626,70.01
XP_025343401.1,556,60.97
XP_025344713.1,445,50.36
XP_025341645.1,543,62.49
XP_025342045.1,244,26.35
XP_025342046.1,292,31.21
XP_025341878.1,267,29.33
XP_025340080.1,1920,215.22
XP_025344301.1,934,105.43
XP_025340983.1,555,63.75
XP_025344278.1,789,87.6
XP_025342339.1,511,57.85
XP_025343797.1,346,38.96
XP_025341810.1,339,37.23
XP_025342276.1,362,40.11
XP_025344644.1,356,39.56
XP_025344098.1,209,23.68
XP_025341791.1,569,62.66
XP_025340161.1,294,33.45
XP_025342563.1,357,39.22
XP_025340818.1,226,25.51
XP_025340447.1,289,33.28
XP_025344565.1,218,24.19
XP_025341271.1,718,78.42
XP_025340557.1,478,53.73
XP_025340306.1,486,53.41
XP_025343428.1,219,24.97
XP_025344078.1,391,44.12
XP_025341954.1,441,48.18
XP_025340244.1,788,88.46
XP_025342165.1,238,25.35
XP_025342018.1,317,34.66
XP_025344224.1,586,62.48
XP_025342943.1,313,35.65
XP_025340257.1,598,69.54
XP_025343708.1,417,47.57
XP_025344126.1,607,66.86
XP_025340728.1,529,59.84
XP_025341309.1,532,61.45
XP_025341333.1,401,44.14
XP_025341419.1,538,60.14
XP_025341128.1,284,31.48
XP_025342458.1,236,26.45
XP_025344236.1,154,15.98
XP_025341786.1,255,29.28
XP_025340907.1,350,38.6
XP_025340031.1,230,25.38
XP_025341302.1,243,27.42
XP_025343511.1,1015,114.37
XP_025341294.1,144,15.55
XP_025340061.1,325,36.07
XP_025342457.1,258,27.82
XP_025343114.1,341,37.71
XP_025339631.1,331,34.47
XP_025343053.1,1317,148.93
XP_025342424.1,171,19.56
XP_025342154.1,398,42.66
XP_025342799.1,249,27.46
XP_025341922.1,254,28.55
XP_025341931.1,757,85.27
XP_025340731.1,676,73.78
XP_025339834.1,412,46.26
XP_025341569.1,421,47.06
XP_025344742.1,506,57.07
XP_025343065.1,225,25.51
XP_025341790.1,752,87.67
XP_025339557.1,416,46.16
XP_025343523.1,300,34.04
XP_025343959.1,335,36.43
XP_025343808.1,381,45.05
XP_025341830.1,404,47.38
XP_025343651.1,653,73.78
XP_025341983.1,327,38.25
XP_025341686.1,752,84.27
XP_025344070.1,487,52.26
XP_025340578.1,399,44.36
XP_025342317.1,767,85.98
XP_025343496.1,205,22.93
XP_025344428.1,566,62.43
XP_025344152.1,544,60.08
XP_025344508.1,456,51.03
XP_025343349.1,554,60.49
XP_025342620.1,180,21.27
XP_025339899.1,2066,224.95
XP_025343104.1,486,53.2
XP_025343133.1,487,53.68
XP_025342547.1,667,74.86
XP_025340443.1,440,50.85
