alpha,E_eV,se_E_eV,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
6.5145169869466235,0.5413523749405702,0.0416004207069524,0.7514888320394446,58,1,Clade1_2068,13,1300
6.826876076512675,0.4933975721574994,0.06122652139272099,0.5369619423992621,58,2,Clade1_2069,13,1300
6.418645268356957,0.5200133074773685,0.05148563540553173,0.637530111581476,60,3,Clade1_2070,13,1300
6.853126256201127,0.43185009481553543,0.06223306528733398,0.48564357431341776,53,4,Clade2_2071,13,1300
6.908328642351254,0.3469894848852545,0.05768602645377468,0.40570901143803045,55,5,Clade2_2072,13,1300
6.805698457680797,0.48318386821362,0.06253572875346894,0.5492146627764866,51,6,Clade2_2073,13,1300
6.639671690281862,0.29237239632682877,0.041820403830036386,0.4705229098669394,57,7,Clade3_2074,13,1300
6.172031459974161,0.5229886954578469,0.04639219630071775,0.6866306866211628,60,8,Clade3_2075,13,1300
6.393065763646833,0.3882362527697883,0.05563643075195792,0.4607062951011045,59,9,Clade3_2076,13,1300
6.354569522620776,0.28032129485072,0.042313151501461595,0.4307563206412259,60,10,Clade4_2077,13,1300
6.194003483505927,0.30316679011361997,0.04947848991978911,0.39294426287761414,60,11,Clade4_2078,13,1300
6.491673458053557,0.32113520339981294,0.06663025431996814,0.30472770712880215,55,12,Clade4_2079,13,1300
4.353028839195236,0.4853010346590634,0.11489032603122246,0.27516666078758995,49,13,glab_2048,8,800
3.526627888199148,0.789874542005674,0.1393508875507467,0.3564776974973252,60,14,glab_2049,8,800
3.450077107380367,0.788762202247522,0.13962671248825187,0.35891728201436846,59,15,glab_2050,8,800
8.195077578096411,0.3403705634945527,0.07704219406484265,0.3122037179587556,45,16,para_2051,38,3800
7.703539293951712,0.36795088012308474,0.0671576888068106,0.3897565801281294,49,17,para_2052,38,3800
7.654857373131709,0.3247196466547369,0.12618839235585316,0.139050385084715,43,18,para_2053,38,3800
