species,gene,pred_tm
auris,XP_085450344.1,53.51336598396301
auris,XP_085450368.1,56.945258378982544
auris,XP_085450385.1,52.84969210624695
auris,XP_085450394.1,56.22726082801819
auris,XP_085450402.1,53.09917330741882
auris,XP_085450407.1,51.81988477706909
auris,XP_085450431.1,59.21748280525208
auris,XP_085450451.1,57.71283507347107
auris,XP_085450452.1,58.10990333557129
auris,XP_085450453.1,58.65483283996582
auris,XP_085450454.1,55.94719648361206
auris,XP_085450460.1,53.93549799919128
auris,XP_085450463.1,54.92452383041382
auris,XP_085450465.1,51.31253004074097
auris,XP_085450476.1,54.482364654541016
auris,XP_085450477.1,53.84863018989563
auris,XP_085450482.1,52.799344062805176
auris,XP_085450493.1,52.38512754440308
auris,XP_085450519.1,53.21727991104126
auris,XP_085450526.1,52.04826593399048
auris,XP_085450528.1,52.55878567695618
auris,XP_085450548.1,55.440694093704224
auris,XP_085450549.1,55.9874415397644
auris,XP_085450552.1,66.31782054901123
auris,XP_085450557.1,51.3797402381897
auris,XP_085450568.1,56.33506774902344
auris,XP_085450576.1,54.04625535011292
auris,XP_085450594.1,58.92249345779419
auris,XP_085450611.1,53.45659255981445
auris,XP_085450629.1,51.08490586280823
auris,XP_085450632.1,51.60701274871826
auris,XP_085450635.1,56.1812162399292
auris,XP_085450636.1,55.54667115211487
auris,XP_085450652.1,54.53314781188965
auris,XP_085450664.1,53.92177700996399
auris,XP_085450673.1,60.49182415008545
auris,XP_085450700.1,52.18319892883301
auris,XP_085450702.1,53.48365306854248
auris,XP_085450704.1,52.534419298172
auris,XP_085450723.1,52.57970094680786
auris,XP_085450727.1,53.99695038795471
auris,XP_085450728.1,53.10579538345337
auris,XP_085450731.1,53.90172004699707
auris,XP_085450736.1,59.12988185882568
auris,XP_085450760.1,52.31149792671204
auris,XP_085450767.1,51.37361288070679
auris,XP_085450769.1,55.65909743309021
auris,XP_085450770.1,55.17488121986389
auris,XP_085450775.1,52.43841409683228
auris,XP_085450790.1,54.26826477050781
auris,XP_085450795.1,54.7325611114502
auris,XP_085450798.1,52.13533639907837
auris,XP_085450799.1,57.118409872055054
auris,XP_085450802.1,54.48216199874878
auris,XP_085450809.1,51.8606960773468
auris,XP_085450813.1,51.67599320411682
auris,XP_085450818.1,54.886841773986816
auris,XP_085450834.1,61.93552017211914
auris,XP_085450857.1,55.92473745346069
auris,XP_085450858.1,52.13146209716797
auris,XP_085450861.1,55.38179278373718
auris,XP_085450863.1,53.16189527511597
auris,XP_085450865.1,54.186952114105225
auris,XP_085450867.1,53.67794036865234
auris,XP_085450877.1,53.05623412132263
auris,XP_085450883.1,53.3414363861084
auris,XP_085450896.1,54.52025532722473
auris,XP_085450897.1,52.25715637207031
auris,XP_085450907.1,54.90260124206543
auris,XP_085450917.1,55.260610580444336
auris,XP_085450937.1,56.80784583091736
auris,XP_085450940.1,60.68917512893677
auris,XP_085450945.1,55.79514503479004
auris,XP_085450946.1,49.613380432128906
auris,XP_085450958.1,57.56751298904419
auris,XP_085450961.1,54.23556566238403
auris,XP_085450963.1,51.57516598701477
auris,XP_085450965.1,53.59956026077271
auris,XP_085450966.1,52.12079882621765
auris,XP_085450973.1,55.72164058685303
auris,XP_085450982.1,53.47808599472046
auris,XP_085451005.1,51.964133977890015
auris,XP_085451015.1,58.77032279968262
auris,XP_085451024.1,52.27949023246765
auris,XP_085451031.1,51.327311992645264
auris,XP_085451032.1,54.6070396900177
auris,XP_085451062.1,54.477500915527344
auris,XP_085451082.1,55.816686153411865
auris,XP_085451085.1,55.84269165992737
auris,XP_085451086.1,51.736003160476685
auris,XP_085451092.1,57.82614350318909
auris,XP_085451111.1,52.102601528167725
auris,XP_085451119.1,53.32993268966675
auris,XP_085451127.1,55.05959987640381
auris,XP_085451128.1,55.70218563079834
auris,XP_085451135.1,53.37505340576172
auris,XP_085451146.1,56.433963775634766
auris,XP_085451171.1,53.1054437160492
auris,XP_085451173.1,53.68524789810181
auris,XP_085451174.1,51.3913631439209
auris,XP_085451185.1,53.834837675094604
auris,XP_085451202.1,58.84706377983093
auris,XP_085451224.1,53.151631355285645
auris,XP_085451234.1,51.408034563064575
auris,XP_085451243.1,55.88593482971192
auris,XP_085451249.1,56.37791156768799
auris,XP_085451266.1,56.20828866958618
auris,XP_085451280.1,52.203428745269775
auris,XP_085451290.1,53.63224148750305
auris,XP_085451293.1,52.36881375312805
auris,XP_085451312.1,51.20214223861694
auris,XP_085451316.1,52.946001291275024
auris,XP_085451319.1,51.955580711364746
auris,XP_085451323.1,56.73899054527283
auris,XP_085451330.1,50.49071907997131
auris,XP_085451333.1,51.66504383087158
auris,XP_085451335.1,55.864012241363525
auris,XP_085451345.1,53.506118059158325
auris,XP_085451346.1,53.35210561752319
auris,XP_085451356.1,54.63045835494995
auris,XP_085451358.1,57.06789493560791
auris,XP_085451363.1,51.385319232940674
auris,XP_085451367.1,54.71904277801514
auris,XP_085451374.1,52.21469402313232
auris,XP_085451380.1,53.05105447769165
auris,XP_085451384.1,51.54471397399902
auris,XP_085451391.1,52.14179754257202
auris,XP_085451415.1,50.8182168006897
auris,XP_085451418.1,51.166027784347534
auris,XP_085451419.1,53.68236303329468
auris,XP_085451420.1,56.28294944763184
auris,XP_085451421.1,60.89144945144653
auris,XP_085451422.1,54.57150936126709
auris,XP_085451439.1,56.46417140960693
auris,XP_085451463.1,51.81841850280762
auris,XP_085451464.1,56.34770393371582
auris,XP_085451466.1,55.739229917526245
auris,XP_085451472.1,53.58798503875733
