,IVYWREL,charged,polar,EK_QH,acidic,basic,n_prot,CvP
auris_cladeI,0.37009100425942026,0.24376069701619024,0.23378290803750948,2.1918205960460315,0.12733691146793988,0.11642378554825035,5424.0,0.009977788978680763
auris_cladeII,0.3705733003379206,0.24507035223006435,0.23307560709240027,2.198146944083225,0.12806306742378634,0.117007284806278,5327.0,0.011994745137664076
auris_cladeIII,0.370340868272426,0.24394446338095918,0.23355253623121938,2.195489074919867,0.12736907723810953,0.11657538614284965,5521.0,0.0103919271497398
auris_cladeIV,0.3705590844922497,0.2446036214596381,0.23360922016692465,2.19471522897762,0.12809903292922348,0.11650458853041462,5506.0,0.010994401292713452
haemulonii,0.366279826802683,0.24357208884558915,0.23441218766175373,2.216420891737447,0.1295353366073571,0.11403675223823204,5249.0,0.009159901183835417
duobushaemulonii,0.36898736267282695,0.24478385652378187,0.23286478104956312,2.2340937757725707,0.13023659526179038,0.1145472612619915,5173.0,0.011919075474218749
pseudohaemulonii,0.37924001958738995,0.24425652111595064,0.22257774620475898,2.2225738647159416,0.12996763806512254,0.1142888830508281,5134.0,0.02167877491119166
parapsilosis,0.3641440926851189,0.23656181447621502,0.2512214671117485,1.9634605264464369,0.12487131900704848,0.11169049546916654,5830.0,-0.014659652635533454
albicans,0.3649219672078319,0.23504567298331924,0.26311075782375587,2.1002661391469273,0.12380245209472696,0.1112432208885923,6030.0,-0.028065084840436627
lusitaniae,0.3696066302759007,0.23854889573591195,0.2345944751887354,2.1434320429735707,0.12514438898938607,0.11340450674652588,5485.0,0.00395442054717654
