alpha,E_eV,se_E_eV,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
6.288609462302617,0.20282060070227304,0.04755926684122682,0.24514768289140762,58,1,Clade1_2068,8,1320
6.299786159057624,0.14321353692345526,0.06503704321170005,0.07968811729948272,58,2,Clade1_2069,8,1320
6.240826769410679,0.2337914633117048,0.050013610639250854,0.27365154501279376,60,3,Clade1_2070,8,1320
5.918446818025832,0.1928431389635911,0.07285736892049353,0.12077847764985436,53,4,Clade2_2071,8,1320
5.620544789339977,0.30746908820188756,0.082387250931446665,0.2081020071744745,55,5,Clade2_2072,8,1320
5.205369117382251,0.46459788837183175,0.07332385746630382,0.4503521882865831,51,6,Clade2_2073,8,1320
6.089641410193564,0.3192374861862366,0.04306374192922953,0.4997936577500387,57,7,Clade3_2074,8,1320
6.356952483609744,0.14637817546170562,0.0602730057617476,0.09230378119015409,60,8,Clade3_2075,8,1320
6.225900590884819,0.21748739135344647,0.05448429389270216,0.2184717706605785,59,9,Clade3_2076,8,1320
6.060512575260914,0.37848668871300284,0.04166871557598365,0.5872037065449531,60,10,Clade4_2077,8,1320
6.238693377062273,0.30943770559537803,0.04583842946727978,0.4399968017495058,60,11,Clade4_2078,8,1320
6.155095978154184,0.37280076160066367,0.050252433379832234,0.5094184846301338,55,12,Clade4_2079,8,1320
5.675439781163531,0.2593589662601156,0.09920638968429621,0.12695811478730512,49,13,glab_2048,8,1320
5.966557749172579,0.06134797360413819,0.09283869474512886,0.0076024438757046325,59,14,glab_2049,8,1320
6.089573047646838,0.21641838386276052,0.08636914557171645,0.09922323291555658,59,15,glab_2050,8,1320
7.447785336170824,0.316249728332235,0.0635934370845747,0.36513243313933147,45,16,para_2051,32,5280
7.71046562794655,0.190745750145865,0.06400437249418357,0.15893580319070075,49,17,para_2052,32,5280
7.496049373995043,0.2863096677894801,0.06216900958374405,0.3409334132577187,43,18,para_2053,32,5280
6.3839698267250835,0.22333290505999245,0.056066334272721466,0.2148074280498319,60,19,Hae_1724,8,1320
6.672188951473745,-0.20643563174111412,0.09069760605322394,0.10980306823459154,44,20,Hae_1768,8,1320
6.20545658444505,-0.11395954487213465,0.07266699805127601,0.060786574286267096,40,21,Hae_1769,8,1320
6.479909276784774,-0.014517166426471797,0.10996268125938231,4.2491751632682583e-4,43,22,Duo_1770,8,1320
6.4462848464434614,0.02746019027967136,0.08313544022105714,0.0025308458963254595,45,23,Duo_1771,8,1320
